Matches,RecursiveCalls,TotalTime,SearchTime
20,10,0.339625,0.003792
2,8,0.215374,0.002041
20,34,0.986958,0.01725
20,15,0.273041,0.004833
20,139,0.400626,0.0365
4,14,0.200375,0.004709
32,15,0.529791,0.007917
20,92,0.486167,0.042
20,6,0.172876,0.002584
46,8,0.227,0.003083
20,35,0.430499,0.011208
31,28,0.270875,0.012042
26,15,0.850333,0.009333
20,57,0.351833,0.01425
20,70,0.3785,0.023542
20,33,0.213333,0.008083
20,13,0.253626,0.00675
20,8,0.183918,0.003292
20,8,0.096334,0.003417
20,11,0.338041,0.003458
20,22,0.220876,0.004959
20,43,0.466624,0.019208
27,8,0.288459,0.003584
9,12,0.088624,0.0025
20,36,0.628999,0.013208
20,25,0.896082,0.013208
25,10,0.512541,0.005666
22,13,0.248748,0.004791
37,7,0.281584,0.003
22,10,0.309543,0.004459
57,6,0.159667,0.002
24,20,0.74875,0.011791
27,20,0.445375,0.008292
23,12,0.140416,0.003125
27,10,0.712625,0.006125
20,20,0.230292,0.003625
20,68,0.345251,0.030959
20,9,0.206707,0.002916
20,599,0.531749,0.131333
20,12,0.257708,0.00475
1,8,0.177876,0.001875
16,31,0.198624,0.005875
34,27,0.207792,0.008458
20,37,0.722374,0.021875
20,22,0.590457,0.011416
23,27,0.779582,0.014375
24,8,0.184999,0.002167
20,175,0.638166,0.079541
20,8,0.201998,0.005291
33,15,0.18225,0.005792
24,7,0.19125,0.002333
34,9,0.184125,0.002875
21,11,0.064334,0.002709
21,14,0.659332,0.006416
24,75,0.7895,0.035958
20,20,0.345874,0.005125
37,13,0.380582,0.005666
3,7,0.310583,0.002334
20,119,0.555999,0.033083
20,81,0.242666,0.015708
24,17,0.683875,0.009208
20,183,0.464083,0.041166
20,16,0.175457,0.005083
11,7,0.231876,0.003042
20,16,0.253251,0.00475
23,48,0.587624,0.02525
20,116,0.530833,0.033916
6,18,0.226958,0.00425
21,100,0.667375,0.033208
20,9,0.314918,0.002459
24,17,0.369625,0.008209
38,76,0.44725,0.025916
21,13,0.567708,0.007625
20,22,0.336125,0.008958
32,7,0.447291,0.004167
5,36,0.094834,0.008709
20,16,0.228792,0.00475
25,20,0.678668,0.010917
20,9,0.151335,0.002417
23,101,0.788418,0.027417
3,9,0.066792,0.001708
20,107,0.248459,0.017833
20,25,0.328124,0.004458
20,190,0.647124,0.054083
20,24,0.189999,0.005791
20,15,0.225709,0.005
20,36,0.459915,0.011291
1,7,0.184249,0.0025
27,181,0.563499,0.068125
20,9,0.359793,0.004209
20,16,0.235333,0.006083
16,246,0.342249,0.059041
21,11,0.193,0.002291
24,286,0.814584,0.122792
20,27,0.299458,0.007792
24,38,0.671332,0.0195
26,64,0.330209,0.021125
20,12,0.296417,0.005417
21,93,0.554416,0.035041
20,59,0.562292,0.018791
25,15,0.566917,0.006292
20,1019,0.939292,0.357875
20,29,0.553459,0.011792
30,16,0.742,0.009875
49,8,0.200418,0.002709
12,34,0.244251,0.009833
29,29,0.763292,0.015583
20,10,0.24375,0.0045
20,16,0.304292,0.00675
20,84,0.514958,0.031084
21,21,0.270792,0.006792
20,119,0.721751,0.053209
20,29,0.491873,0.016416
20,29,0.537041,0.011166
20,390,1.03575,0.12775
20,10,0.384458,0.00475
24,110,0.666542,0.052084
12,9,0.211375,0.002166
30,6,0.205582,0.002416
21,48,0.723291,0.024375
20,7,0.312334,0.0025
20,22,0.343417,0.006375
20,24,0.233833,0.00425
11,20,0.281916,0.006292
20,23,0.279416,0.005333
20,104,0.863292,0.050167
20,51,0.908042,0.023542
22,53,0.534292,0.026292
20,20,0.173708,0.00575
22,15,0.312082,0.006125
20,15,0.439584,0.0085
20,12,0.223708,0.002583
20,8,0.208043,0.002625
27,6,0.186042,0.002292
38,62,0.694877,0.028
20,16,0.288459,0.004416
20,145,0.492792,0.05725
14,41,0.300208,0.017458
21,16,0.400666,0.007166
20,36,0.798874,0.015708
20,55,0.728626,0.022709
20,19,0.288834,0.006167
20,617,1.16246,0.346792
20,89,0.867084,0.03025
21,34,0.545375,0.013709
20,11,0.347999,0.002833
20,12,0.232583,0.00325
20,30,0.25125,0.007334
20,10,0.277626,0.006959
24,15,0.64904,0.010375
20,7,0.085709,0.003542
20,9,0.130042,0.003667
30,40,0.42775,0.018292
20,7,0.229417,0.002917
20,69,0.228334,0.013083
20,110,0.614625,0.044208
20,34,0.471084,0.008709
21,99,0.600666,0.039208
20,17,0.656415,0.014583
20,19,0.086167,0.003667
20,38,0.186958,0.006833
8,103,0.319082,0.027291
20,13,0.187333,0.004417
8,9,0.20125,0.003542
24,7,0.185166,0.003666
20,19,0.307167,0.007625
20,30,0.304458,0.008958
24,36,0.419584,0.009167
20,69,0.797833,0.021916
21,7,0.258168,0.00325
32,41,0.482043,0.016959
4,9,0.226792,0.002208
