Matches,Recursive calls,Total time,Search time
42,36,0.385667,0.007125
41,33,0.245083,0.006083
48,31,0.307585,0.006167
40,50,0.420876,0.009417
42,33,0.365126,0.010834
42,32,0.329667,0.007042
48,33,0.409333,0.009917
52,33,0.4885,0.007208
40,111,0.816709,0.016875
40,64,0.395791,0.011708
224,34,0.540999,0.008625
40,67,0.44875,0.015667
40,39,0.600958,0.009334
40,50,0.346082,0.015875
42,32,0.295876,0.006209
60,30,0.320167,0.006084
40,91,0.540834,0.027375
40,80,0.138834,0.013
40,47,0.452917,0.008625
40,31,0.191124,0.006958
40,38,0.250626,0.0075
40,36,0.291332,0.006916
40,89,0.651918,0.02125
40,37,0.255374,0.006292
40,33,0.129625,0.0065
50,34,0.385084,0.007833
40,33,0.241667,0.006375
45,30,0.321292,0.008292
59,32,0.315083,0.007583
45,39,0.282748,0.008041
121,30,0.287584,0.005292
40,38,0.347666,0.006625
65,33,0.307834,0.008083
40,112,0.379958,0.019417
40,33,0.265376,0.005458
53,31,0.458665,0.007583
40,81,0.667792,0.018583
42,31,0.182584,0.006833
40,32,0.247542,0.007417
40,50,0.238958,0.007916
40,36,0.20454,0.007916
40,46,0.569833,0.011334
42,62,0.369458,0.013958
40,40,0.311709,0.006917
40,110,0.400834,0.032708
41,36,0.322208,0.008
42,36,0.283667,0.006875
40,35,0.132168,0.005542
40,34,0.457334,0.007
40,40,0.549166,0.008458
16,38,0.308249,0.006542
48,43,0.680041,0.014583
40,58,0.350707,0.010792
40,62,0.359958,0.0105
40,37,0.164375,0.007542
40,92,0.301626,0.014667
42,31,0.239959,0.007375
40,31,0.259333,0.006375
42,32,0.900167,0.006917
40,33,0.383584,0.007958
46,33,0.438625,0.008958
51,32,0.47,0.009
496,2,0.202876,0.001459
68,2,0.245708,0.001916
43,6,0.463917,0.003958
126,2,0.300585,0.001334
40,10,0.263583,0.002583
259,5,0.270791,0.002833
24,9,0.126459,0.002125
264,2,0.186542,0.001167
42,2,0.204792,0.002208
147,2,0.162334,0.001459
104,2,0.281375,0.001458
216,2,0.236,0.001292
4,6,0.163999,0.002125
45,2,0.262916,0.001417
31,10,0.31375,0.002292
40,28,0.208833,0.005458
92,2,0.282542,0.001208
68,2,0.301333,0.001833
140,2,0.194123,0.001208
40,2,0.231376,0.002
45,2,0.316957,0.001041
24,3,0.17921,0.002459
335,2,0.244749,0.004958
41,2,0.085083,0.00175
288,2,0.211793,0.001083
72,2,0.237542,0.004083
40,9,0.230125,0.002542
608,2,0.194125,0.001583
48,2,0.206041,0.002583
88,2,0.256542,0.001375
2,2,0.211791,0.001209
40,19,0.228416,0.004083
44,2,0.267585,0.001167
63,2,0.419541,0.007541
40,26,0.254291,0.005083
40,6,0.178125,0.002667
40,4,0.063543,0.00275
21,3,0.180541,0.002083
41,2,0.258001,0.002167
40,7,0.275833,0.002708
44,18,0.219709,0.004792
216,2,0.341668,0.001209
40,20,0.110001,0.003375
56,2,0.221958,0.004916
50,6,0.180874,0.00275
40,2,0.204126,0.001375
40,28,0.203459,0.0045
45,2,0.198874,0.001708
170,2,0.244707,0.002041
261,2,0.354917,0.001375
66,2,0.266457,0.001291
2,2,0.174125,0.001417
44,3,0.105792,0.001875
40,11,0.220749,0.002291
45,2,0.198625,0.001333
40,14,0.143834,0.003209
756,2,0.247125,0.001375
40,35,0.320084,0.00625
66,3,0.37175,0.003708
56,2,0.24175,0.001208
40,15,0.226833,0.00275
85,2,0.179916,0.001
1,2,0.187167,0.001458
58,2,0.178457,0.001041
48,2,0.149292,0.001541
4,4,0.203793,0.001167
40,11,0.174833,0.002417
425,2,0.247334,0.001292
92,2,0.244791,0.001291
306,2,0.201083,0.003458
40,24,0.316709,0.005542
41,2,0.111708,0.002125
65,2,0.082166,0.004167
65,2,0.170875,0.002833
140,2,0.172334,0.00125
44,2,0.266582,0.001958
43,3,0.17825,0.001375
19,3,0.224292,0.00175
64,2,0.302041,0.001208
40,26,0.25475,0.005709
90,2,0.202124,0.001708
48,4,0.229168,0.001917
40,18,0.259041,0.00325
46,2,0.205625,0.001292
48,2,0.223958,0.001583
40,2,0.068665,0.002041
90,2,0.192459,0.001042
54,2,0.19525,0.001583
11,11,0.152833,0.001958
522,2,0.43104,0.001208
330,2,0.226833,0.001375
46,3,0.241249,0.0025
40,16,0.3235,0.004083
53,5,0.238291,0.003125
24,19,0.188752,0.002959
60,2,0.30375,0.001625
92,2,0.239291,0.001083
60,2,0.241209,0.000958
40,7,0.110417,0.002125
47,2,0.349333,0.004958
46,3,0.069126,0.002292
56,4,0.204501,0.002542
49,2,0.236126,0.001625
68,2,0.250374,0.0055
11,14,0.276583,0.002375
17,14,0.107125,0.002958
48,2,0.240374,0.002125
40,9,0.242458,0.002708
1,4,0.177543,0.00125
696,2,0.19354,0.001416
41,4,0.244917,0.00275
48,2,0.188251,0.001208
116,2,0.197583,0.001125
3,2,0.226543,0.001292
40,13,0.053541,0.002583
40,21,0.349376,0.005667
45,2,0.201792,0.001875
52,3,0.236917,0.001875
14,3,0.301167,0.002417
304,2,0.18775,0.001125
40,13,0.239666,0.002958
288,2,0.234959,0.001375
665,2,0.313043,0.001334
44,3,0.188042,0.002125
40,18,0.221834,0.004083
546,2,0.264041,0.00125
44,3,0.214791,0.002292
735,2,0.373667,0.001417
40,8,0.195084,0.002292
40,14,0.22125,0.003
22,13,0.182291,0.002625
160,3,0.213667,0.002
40,20,0.350875,0.004042
85,2,0.20696,0.003084
3,10,0.228833,0.002542
84,4,0.181793,0.001959
10,14,0.20146,0.002459
43,4,0.253791,0.0025
56,6,0.269043,0.002958
24,7,0.215125,0.002542
40,7,0.212,0.0025
90,2,0.191458,0.002833
45,3,0.206583,0.002375
40,32,0.343834,0.005959
99,2,0.252125,0.001333
6,23,0.232084,0.005625
86,3,0.286875,0.002208
28,114,0.259208,0.028625
240,2,0.244416,0.001333
261,2,0.412958,0.001583
40,34,0.418459,0.007292
40,19,0.292876,0.003459
522,2,0.347124,0.001166
40,11,0.318083,0.00275
40,4,0.2755,0.002333
40,10,0.212625,0.002583
57,3,0.19821,0.002042
40,11,0.249626,0.003167
40,18,0.210082,0.003541
665,2,0.379625,0.001458
45,4,0.225333,0.002417
45,3,0.305042,0.002667
349,2,0.427084,0.004792
1120,2,0.227332,0.00125
43,2,0.268959,0.001833
40,50,0.262374,0.007666
50,2,0.073375,0.001167
52,2,0.248292,0.001709
40,19,0.222958,0.003375
40,20,0.239833,0.004291
10,19,0.261123,0.002916
900,2,0.175916,0.00125
40,24,0.278417,0.00525
624,2,0.166458,0.001375
57,2,0.147499,0.000916
40,13,0.361626,0.003917
105,2,0.2675,0.00125
630,2,0.269375,0.001375
18,8,0.269332,0.002416
54,4,0.297584,0.001917
270,2,0.286834,0.001167
40,7,0.276791,0.002333
140,2,0.288709,0.001958
216,2,0.298083,0.001375
5,2,0.163209,0.001333
40,7,0.218542,0.002667
40,15,0.344624,0.003667
360,2,0.213043,0.00125
8,5,0.206832,0.001291
117,2,0.276959,0.001209
462,2,0.224416,0.001166
256,2,0.202334,0.0015
40,27,0.251916,0.006375
240,2,0.291124,0.001916
40,12,0.215249,0.002916
40,68,0.413126,0.020209
15,20,0.109917,0.003
153,2,0.24275,0.00125
247,2,0.289124,0.004583
315,2,0.439418,0.001417
48,18,0.411375,0.008334
2,8,0.207291,0.002125
40,25,0.210374,0.00525
40,24,0.650668,0.011542
40,59,0.417876,0.02325
38,16,0.228207,0.004791
40,9,0.21075,0.002875
8,16,0.283833,0.0045
52,8,0.735667,0.005167
4,7,0.234876,0.002334
40,164,0.437167,0.041917
1,8,0.197291,0.002291
54,10,0.388542,0.012209
42,91,0.736499,0.043666
40,136,0.575249,0.041292
36,28,0.234958,0.003792
40,48,0.537374,0.012083
40,13,0.277792,0.003125
40,67,0.749667,0.022709
40,115,0.590791,0.036875
40,44,0.868709,0.019667
40,26,0.097126,0.004709
40,11,0.296125,0.0035
2,8,0.30725,0.00175
40,48,0.941124,0.018417
40,16,0.304374,0.004458
40,233,0.456542,0.057541
4,14,0.231916,0.005
64,16,0.679458,0.008833
40,99,0.503541,0.040667
47,8,0.171082,0.003208
46,8,0.271125,0.003
40,52,0.429916,0.013167
43,42,0.354,0.019791
52,29,0.828208,0.015458
40,93,0.336959,0.021375
42,85,0.3875,0.025959
40,35,0.297082,0.00825
40,15,0.467167,0.006625
40,10,0.200416,0.003541
40,10,0.243876,0.003917
40,19,0.279417,0.003917
40,32,0.210583,0.005458
40,53,0.656625,0.0205
54,8,0.300751,0.003917
9,12,0.203375,0.002334
40,62,0.610082,0.022583
40,46,0.821416,0.017333
50,15,0.650709,0.006583
46,13,0.274667,0.004542
48,7,0.233291,0.002375
47,16,0.206082,0.005375
57,6,0.175294,0.001459
40,22,0.836709,0.011917
46,93,0.479792,0.030459
44,13,0.222792,0.004083
45,12,0.816958,0.011083
40,27,0.271542,0.005042
40,70,0.496708,0.031333
48,11,0.264749,0.004
40,622,0.583166,0.137875
40,15,0.248625,0.0055
1,8,0.170125,0.001917
16,31,0.209792,0.0055
51,27,0.302167,0.007958
40,41,0.879207,0.021041
40,27,0.662,0.012125
45,31,0.979541,0.017208
42,9,0.278751,0.002917
40,181,0.849833,0.082833
40,10,0.254417,0.004417
61,15,0.241834,0.007292
42,7,0.227084,0.002917
50,9,0.249501,0.003458
42,15,0.101,0.003959
40,14,0.702041,0.006958
42,77,0.904,0.037042
24,23,0.376167,0.00575
59,13,0.396417,0.005375
3,7,0.226083,0.002375
40,123,0.590583,0.035125
35,150,0.317501,0.02925
48,17,0.712875,0.010042
40,290,0.559375,0.0665
40,27,0.402209,0.008
11,7,0.225666,0.003333
40,21,0.219541,0.00625
40,49,0.728874,0.025875
40,132,0.64175,0.046458
6,18,0.205416,0.004041
41,102,0.675459,0.034584
40,14,0.288208,0.003708
48,17,0.319457,0.007625
57,78,0.333333,0.02475
42,35,0.579584,0.0155
38,220,0.420833,0.070167
64,7,0.399916,0.00475
5,36,0.145292,0.009583
41,30,0.262334,0.007875
50,22,0.688624,0.011416
43,16,0.186417,0.00375
43,101,0.848833,0.02925
3,9,0.104042,0.002084
40,152,0.305917,0.027916
40,49,0.276833,0.007416
40,195,0.614708,0.055167
40,34,0.233043,0.007625
40,26,0.166834,0.007167
40,67,0.451,0.015333
1,7,0.234125,0.002334
45,183,0.626208,0.067625
40,11,0.428333,0.004583
40,21,0.278959,0.006834
16,246,0.324208,0.07325
30,13,0.299543,0.003583
48,286,0.800958,0.12775
40,29,0.337833,0.00825
42,78,0.908417,0.037875
52,64,0.346835,0.020084
40,14,0.262999,0.005083
40,115,0.582874,0.03925
40,69,0.57129,0.01975
44,20,0.517458,0.009792
24,1114,1.02217,0.380375
40,35,0.59054,0.015583
60,16,0.857666,0.01025
49,8,0.218624,0.00275
